emoji,count,positive_%,neutral_%,negative_%
🥅,2,100.0,0.0,0.0
🌋,1,0.0,100.0,0.0
🔇,1,0.0,100.0,0.0
📵,2,50.0,50.0,0.0
📴,2,0.0,100.0,0.0
🎷,5,60.0,40.0,0.0
🈺,1,100.0,0.0,0.0
🔽,5,20.0,20.0,60.0
🐛,2,50.0,50.0,0.0
🅾,3,0.0,100.0,0.0
🌶,8,37.5,50.0,12.5
🐠,5,60.0,40.0,0.0
⚓,3,33.3,66.7,0.0
🙍,1,0.0,0.0,100.0
🍗,5,80.0,20.0,0.0
🔈,2,0.0,100.0,0.0
🔧,1,100.0,0.0,0.0
🍡,5,20.0,80.0,0.0
⏯,4,50.0,25.0,25.0
🍬,7,42.9,57.1,0.0
🏖,4,75.0,25.0,0.0
✒,1,100.0,0.0,0.0
🌥,6,83.3,16.7,0.0
🗝,2,100.0,0.0,0.0
🐏,2,50.0,50.0,0.0
📡,1,0.0,100.0,0.0
⚕,2,50.0,50.0,0.0
🔳,1,100.0,0.0,0.0
🎏,1,0.0,100.0,0.0
🎳,2,0.0,100.0,0.0
🆙,3,33.3,33.3,33.3
👡,1,0.0,100.0,0.0
🚬,5,80.0,20.0,0.0
🕕,6,83.3,16.7,0.0
🆔,2,0.0,100.0,0.0
🐩,1,0.0,0.0,100.0
⏭,2,0.0,50.0,50.0
🍍,2,50.0,50.0,0.0
🥝,2,50.0,50.0,0.0
🎺,4,50.0,50.0,0.0
🥁,3,100.0,0.0,0.0
📯,1,100.0,0.0,0.0
🥗,2,100.0,0.0,0.0
✳,2,0.0,50.0,50.0
🛀,1,0.0,0.0,100.0
🐚,2,100.0,0.0,0.0
☣,4,25.0,50.0,25.0
💬,4,75.0,25.0,0.0
🧘,1,0.0,100.0,0.0
🗒,1,0.0,100.0,0.0
🎗,2,50.0,50.0,0.0
🔅,3,100.0,0.0,0.0
✝,4,50.0,50.0,0.0
⛵,2,50.0,50.0,0.0
📛,2,0.0,50.0,50.0
🚩,2,50.0,50.0,0.0
❔,2,0.0,100.0,0.0
🎫,1,0.0,100.0,0.0
⚰,4,25.0,50.0,25.0
💹,1,0.0,100.0,0.0
🌫,1,0.0,100.0,0.0
🛌,1,0.0,100.0,0.0
🥔,1,100.0,0.0,0.0
🚃,1,0.0,100.0,0.0
🚋,1,0.0,100.0,0.0
⚱,1,100.0,0.0,0.0
🚛,2,50.0,50.0,0.0
🏛,1,0.0,0.0,100.0
🕓,1,0.0,100.0,0.0
✴,3,33.3,66.7,0.0
🍅,2,50.0,50.0,0.0
♓,1,100.0,0.0,0.0
🦃,2,50.0,50.0,0.0
🍩,3,100.0,0.0,0.0
♣,1,0.0,100.0,0.0
🧤,5,40.0,60.0,0.0
🤺,1,0.0,100.0,0.0
🥕,2,100.0,0.0,0.0
🍛,2,50.0,50.0,0.0
🌽,3,100.0,0.0,0.0
🐑,1,100.0,0.0,0.0
💇,4,0.0,50.0,50.0
🚕,1,0.0,0.0,100.0
🏥,2,0.0,100.0,0.0
🤵,1,0.0,100.0,0.0
💠,2,50.0,50.0,0.0
🐵,3,66.7,33.3,0.0
🖱,1,0.0,0.0,100.0
〰,1,100.0,0.0,0.0
⛽,1,100.0,0.0,0.0
🎚,1,100.0,0.0,0.0
🔙,4,25.0,50.0,25.0
🚽,2,50.0,50.0,0.0
🚁,1,0.0,0.0,100.0
🐳,3,33.3,33.3,33.3
🎪,1,0.0,100.0,0.0
🗼,1,0.0,0.0,100.0
🏚,1,0.0,0.0,100.0
📒,2,50.0,50.0,0.0
🏢,1,100.0,0.0,0.0
🕝,1,100.0,0.0,0.0
🔖,1,0.0,100.0,0.0
🍮,1,0.0,100.0,0.0
🌇,1,0.0,0.0,100.0
💽,2,100.0,0.0,0.0
🚔,1,0.0,100.0,0.0
❎,1,100.0,0.0,0.0
🎴,1,100.0,0.0,0.0
🎡,3,0.0,100.0,0.0
💒,1,0.0,0.0,100.0
🧛,2,50.0,50.0,0.0
🛩,1,100.0,0.0,0.0
🎖,1,0.0,100.0,0.0
🍝,2,50.0,50.0,0.0
🥙,1,100.0,0.0,0.0
🔍,1,100.0,0.0,0.0
⛰,2,0.0,50.0,50.0
🐂,2,50.0,50.0,0.0
🚜,1,0.0,100.0,0.0
⛱,1,0.0,100.0,0.0
🍨,1,100.0,0.0,0.0
🚭,1,100.0,0.0,0.0
🍘,1,100.0,0.0,0.0
😾,1,0.0,100.0,0.0
◾,1,0.0,100.0,0.0
☦,1,0.0,100.0,0.0
🍈,1,100.0,0.0,0.0
🏕,1,0.0,100.0,0.0
🧙,1,100.0,0.0,0.0
☢,1,100.0,0.0,0.0
🏞,1,100.0,0.0,0.0
🎦,2,0.0,100.0,0.0
🌭,1,0.0,100.0,0.0
👷,1,0.0,100.0,0.0
✡,1,100.0,0.0,0.0
🎠,1,0.0,100.0,0.0
🚟,1,0.0,100.0,0.0
🍞,1,0.0,100.0,0.0
