emoji,count,positive_%,neutral_%,negative_%
💦,87,43.7,39.1,17.2
😖,9,33.3,22.2,44.4
🦁,11,36.4,54.5,9.1
👨,13,30.8,38.5,30.8
🙂,61,45.9,36.1,18.0
😚,33,57.6,24.2,18.2
😇,70,52.9,40.0,7.1
😵,12,8.3,58.3,33.3
⚾,17,41.2,52.9,5.9
🆚,4,50.0,50.0,0.0
🖌,2,50.0,50.0,0.0
🌻,64,62.5,34.4,3.1
🆘,21,42.9,19.0,38.1
🕊,9,77.8,22.2,0.0
😲,26,34.6,46.2,19.2
☕,41,61.0,36.6,2.4
👱,3,0.0,33.3,66.7
👩,15,40.0,46.7,13.3
👐,10,50.0,20.0,30.0
🌺,29,55.2,41.4,3.4
🧔,2,50.0,50.0,0.0
🛑,8,12.5,62.5,25.0
👼,17,88.2,11.8,0.0
🕍,1,0.0,100.0,0.0
🔕,1,0.0,100.0,0.0
🤪,64,32.8,46.9,20.3
▪,15,46.7,46.7,6.7
🐉,4,25.0,75.0,0.0
📌,12,33.3,50.0,16.7
😷,16,43.8,31.2,25.0
✂,6,33.3,66.7,0.0
😪,48,31.2,35.4,33.3
⬅,18,38.9,55.6,5.6
🏡,9,55.6,44.4,0.0
🐷,10,40.0,40.0,20.0
🌿,24,66.7,29.2,4.2
😻,43,72.1,18.6,9.3
🎓,6,16.7,83.3,0.0
🏀,43,32.6,55.8,11.6
👻,20,35.0,50.0,15.0
🔊,19,36.8,52.6,10.5
☑,7,85.7,14.3,0.0
💍,24,62.5,33.3,4.2
⭕,5,40.0,40.0,20.0
💸,23,56.5,30.4,13.0
🌚,21,33.3,47.6,19.0
📍,31,32.3,58.1,9.7
🌅,3,100.0,0.0,0.0
🚖,35,8.6,91.4,0.0
🛫,15,60.0,33.3,6.7
🎤,40,35.0,42.5,22.5
📻,15,26.7,66.7,6.7
▶,60,38.3,55.0,6.7
😬,50,48.0,26.0,26.0
📰,9,44.4,55.6,0.0
🐍,15,40.0,33.3,26.7
🌵,7,28.6,71.4,0.0
🥊,11,54.5,36.4,9.1
🍖,2,100.0,0.0,0.0
🤒,6,50.0,33.3,16.7
😸,7,57.1,28.6,14.3
🌬,5,40.0,40.0,20.0
🦖,4,25.0,75.0,0.0
🌲,7,85.7,14.3,0.0
🍑,31,29.0,48.4,22.6
☎,3,0.0,100.0,0.0
📱,13,38.5,61.5,0.0
🏴,3,33.3,33.3,33.3
🔬,5,20.0,60.0,20.0
🔋,5,40.0,0.0,60.0
☝,22,59.1,36.4,4.5
🏒,4,75.0,25.0,0.0
🐧,11,45.5,45.5,9.1
